"","CRN","all_time","all_days","Section","Seats","course_name","format.time","has.tba"
"591",35163,"5:10 - 6:00 PM|TBA","MWF|NA","CRO",39,"CHE 002B","M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",1
"592",35164,"1:10 - 2:00 PM|4:10 - 7:00 PM|6:10 - 7:00 PM","MWF|M|R","A01",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 4:10 - 7:00 PM#R 6:10 - 7:00 PM",0
"593",35165,"12:10 - 1:00 PM|1:10 - 2:00 PM|4:10 - 7:00 PM","F|MWF|M","A02",0,"CHE 002C","F 12:10 - 1:00 PM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 4:10 - 7:00 PM",0
"594",35166,"8:00 - 8:50 AM|1:10 - 2:00 PM|4:10 - 7:00 PM","T|MWF|M","A03",0,"CHE 002C","T 8:00 - 8:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 4:10 - 7:00 PM",0
"595",35167,"8:00 - 8:50 AM|9:00 - 11:50 AM|1:10 - 2:00 PM","T|T|MWF","A04",0,"CHE 002C","T 8:00 - 8:50 AM#T 9:00 - 11:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"596",35168,"1:10 - 2:00 PM|8:00 - 8:50 AM|9:00 - 11:50 AM","MWF|M|T","A05",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 8:00 - 8:50 AM#T 9:00 - 11:50 AM",0
"597",35169,"9:00 - 9:50 AM|9:00 - 11:50 AM|1:10 - 2:00 PM","M|T|MWF","A06",0,"CHE 002C","M 9:00 - 9:50 AM#T 9:00 - 11:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"598",35170,"1:10 - 2:00 PM|4:10 - 5:00 PM|4:10 - 7:00 PM","MWF|M|T","A07",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 4:10 - 5:00 PM#T 4:10 - 7:00 PM",0
"599",35171,"8:00 - 8:50 AM|1:10 - 2:00 PM|4:10 - 7:00 PM","M|MWF|T","A08",1,"CHE 002C","M 8:00 - 8:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#T 4:10 - 7:00 PM",0
"600",35172,"1:10 - 2:00 PM|5:10 - 6:00 PM|7:10 - 10:00 PM","MWF|M|T","A09",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 5:10 - 6:00 PM#T 7:10 - 10:00 PM",0
