"","CRN","Time","Days","SEC","Seats","Course Location"
"5509","55453","2:10 - 4:30 PM","MW","A06","0","PHY 007CREMOTE TBA"
"5510","55454","7:30 - 8:50 AM","F","A07","0","PHY 007CREMOTE TBA"
"5511","55454","4:40 - 7:00 PM","MW","A07","0","PHY 007CREMOTE TBA"
"5512","55455","7:30 - 8:50 AM","F","A08","0","PHY 007CREMOTE TBA"
"5513","55455","4:40 - 7:00 PM","MW","A08","0","PHY 007CREMOTE TBA"
"5514","55456","7:30 - 8:50 AM","F","A09","1","PHY 007CREMOTE TBA"
"5515","55456","10:30 - 12:50 PM","TF","A09","1","PHY 007CREMOTE TBA"
"5516","55457","7:30 - 8:50 AM","F","A10","0","PHY 007CREMOTE TBA"
"5517","55457","10:30 - 12:50 PM","W","A10","0","PHY 007CREMOTE TBA"
"5518","55457","2:10 - 4:30 PM","F","A10","0","PHY 007CREMOTE TBA"
"5519","55458","7:30 - 8:50 AM","F","B01","0","PHY 007CREMOTE TBA"
"5520","55458","10:30 - 12:50 PM","MR","B01","0","PHY 007CREMOTE TBA"
"5521","55459","7:30 - 8:50 AM","F","B02","0","PHY 007CREMOTE TBA"
"5522","55459","2:10 - 4:30 PM","TR","B02","0","PHY 007CREMOTE TBA"
"5523","55460","7:30 - 8:50 AM","F","B03","0","PHY 007CREMOTE TBA"
"5524","55460","4:40 - 7:00 PM","TR","B03","0","PHY 007CREMOTE TBA"
"5525","55461","7:30 - 8:50 AM","F","B04","0","PHY 007CREMOTE TBA"
"5526","55461","4:40 - 7:00 PM","TR","B04","0","PHY 007CREMOTE TBA"
"5527","55462","7:30 - 8:50 AM","F","B05","0","PHY 007CREMOTE TBA"
"5528","55462","8:00 - 10:20 AM","MW","B05","0","PHY 007CREMOTE TBA"
"5529","55463","7:30 - 8:50 AM","F","B06","0","PHY 007CREMOTE TBA"
"5530","55463","2:10 - 4:30 PM","MW","B06","0","PHY 007CREMOTE TBA"
"5531","55464","7:30 - 8:50 AM","F","B07","0","PHY 007CREMOTE TBA"
"5532","55464","4:40 - 7:00 PM","MW","B07","0","PHY 007CREMOTE TBA"
"5533","55465","7:30 - 8:50 AM","F","B08","0","PHY 007CREMOTE TBA"
"5534","55465","4:40 - 7:00 PM","MW","B08","0","PHY 007CREMOTE TBA"
"5535","55466","7:30 - 8:50 AM","F","B09","2","PHY 007CREMOTE TBA"
"5536","55466","10:30 - 12:50 PM","TF","B09","2","PHY 007CREMOTE TBA"
"5537","55467","7:30 - 8:50 AM","F","B10","0","PHY 007CREMOTE TBA"
"5538","55467","10:30 - 12:50 PM","W","B10","0","PHY 007CREMOTE TBA"
"5539","55467","2:10 - 4:30 PM","F","B10","0","PHY 007CREMOTE TBA"
"5540","55468","7:30 - 8:50 AM","F","C01","1","PHY 007CREMOTE TBA"
"5541","55468","10:30 - 12:50 PM","TF","C01","1","PHY 007CREMOTE TBA"
"5542","55469","7:30 - 8:50 AM","F","C02","0","PHY 007CREMOTE TBA"
"5543","55469","8:00 - 10:20 AM","MW","C02","0","PHY 007CREMOTE TBA"
"5544","55470","7:30 - 8:50 AM","F","C03","1","PHY 007CREMOTE TBA"
"5545","55470","10:30 - 12:50 PM","MW","C03","1","PHY 007CREMOTE TBA"
"5546","55471","7:30 - 8:50 AM","F","C04","0","PHY 007CREMOTE TBA"
"5547","55471","4:40 - 7:00 PM","MW","C04","0","PHY 007CREMOTE TBA"
"5548","55472","7:30 - 8:50 AM","F","C05","0","PHY 007CREMOTE TBA"
"5549","55472","2:10 - 4:30 PM","MW","C05","0","PHY 007CREMOTE TBA"
"5550","55473","7:30 - 8:50 AM","F","C06","0","PHY 007CREMOTE TBA"
"5551","55473","2:10 - 4:30 PM","TR","C06","0","PHY 007CREMOTE TBA"
"5552","55474","7:30 - 8:50 AM","F","C07","14","PHY 007CREMOTE TBA"
"5553","55474","4:40 - 7:00 PM","TR","C07","14","PHY 007CREMOTE TBA"
"5554","55475","7:30 - 8:50 AM","F","C08","0","PHY 007CREMOTE TBA"
"5555","55475","2:10 - 4:30 PM","TR","C08","0","PHY 007CREMOTE TBA"
"5556","55476","7:30 - 8:50 AM","F","C09","0","PHY 007CREMOTE TBA"
"5557","55476","2:10 - 4:30 PM","WF","C09","0","PHY 007CREMOTE TBA"
"5558","55477","7:30 - 8:50 AM","F","D01","0","PHY 007CREMOTE TBA"
"5559","55477","10:30 - 12:50 PM","TF","D01","0","PHY 007CREMOTE TBA"
"5560","55478","7:30 - 8:50 AM","F","D02","0","PHY 007CREMOTE TBA"
"5561","55478","8:00 - 10:20 AM","MW","D02","0","PHY 007CREMOTE TBA"
"5562","55479","7:30 - 8:50 AM","F","D03","0","PHY 007CREMOTE TBA"
"5563","55479","10:30 - 12:50 PM","MW","D03","0","PHY 007CREMOTE TBA"
"5564","55480","7:30 - 8:50 AM","F","D04","1","PHY 007CREMOTE TBA"
"5565","55480","4:40 - 7:00 PM","MW","D04","1","PHY 007CREMOTE TBA"
"5566","55481","7:30 - 8:50 AM","F","D05","0","PHY 007CREMOTE TBA"
"5567","55481","2:10 - 4:30 PM","MW","D05","0","PHY 007CREMOTE TBA"
"5568","55482","7:30 - 8:50 AM","F","D06","0","PHY 007CREMOTE TBA"
"5569","55482","2:10 - 4:30 PM","TR","D06","0","PHY 007CREMOTE TBA"
"5570","55483","7:30 - 8:50 AM","F","D07","9","PHY 007CREMOTE TBA"
"5571","55483","4:40 - 7:00 PM","TR","D07","9","PHY 007CREMOTE TBA"
