"","X1","CRN","Time","Days","SEC","Seats","Course Location","course_name"
"3283",3283,42091,"10:30 - 11:50 AM","TR","A02",0,"ENL 111REMOTE TBA","ENL 111"
"3284",3284,42091,"7:10 - 8:00 PM","R","A02",0,"ENL 111REMOTE TBA","ENL 111"
"3285",3285,42092,"8:00 - 8:50 AM","T","A03",0,"ENL 111REMOTE TBA","ENL 111"
"3286",3286,42092,"10:30 - 11:50 AM","TR","A03",0,"ENL 111REMOTE TBA","ENL 111"
"3287",3287,42093,"9:00 - 9:50 AM","T","A04",0,"ENL 111REMOTE TBA","ENL 111"
"3288",3288,42093,"10:30 - 11:50 AM","TR","A04",0,"ENL 111REMOTE TBA","ENL 111"
"3289",3289,62131,"3:10 - 4:30 PM","TR","A01",0,"ENL 122REMOTE TBA","ENL 122"
"3290",3290,62131,"9:00 - 9:50 AM","F","A01",0,"ENL 122REMOTE TBA","ENL 122"
"3291",3291,62132,"3:10 - 4:30 PM","TR","A02",2,"ENL 122REMOTE TBA","ENL 122"
"3292",3292,62132,"12:10 - 1:00 PM","F","A02",2,"ENL 122REMOTE TBA","ENL 122"
"3293",3293,62133,"3:10 - 4:30 PM","TR","A03",5,"ENL 122REMOTE TBA","ENL 122"
"3294",3294,62133,"8:00 - 8:50 AM","T","A03",5,"ENL 122REMOTE TBA","ENL 122"
"3295",3295,62134,"3:10 - 4:30 PM","TR","A04",6,"ENL 122REMOTE TBA","ENL 122"
"3296",3296,62134,"9:00 - 9:50 AM","T","A04",6,"ENL 122REMOTE TBA","ENL 122"
"3297",3297,62135,"10:00 - 10:50 AM","F","A01",0,"ENL 123TBA","ENL 123"
"3298",3298,62135,"9:00 - 9:50 AM","MWF","A01",0,"ENL 123REMOTE TBA","ENL 123"
"3299",3299,62136,"10:00 - 10:50 AM","F","A02",0,"ENL 123TBA","ENL 123"
"3300",3300,62136,"9:00 - 9:50 AM","MWF","A02",0,"ENL 123REMOTE TBA","ENL 123"
"3301",3301,62137,"12:10 - 1:00 PM","F","A03",0,"ENL 123REMOTE TBA","ENL 123"
"3302",3302,62137,"9:00 - 9:50 AM","MWF","A03",0,"ENL 123REMOTE TBA","ENL 123"
"3303",3303,62138,"2:10 - 3:00 PM","F","A04",0,"ENL 123REMOTE TBA","ENL 123"
"3304",3304,62138,"9:00 - 9:50 AM","MWF","A04",0,"ENL 123REMOTE TBA","ENL 123"
"3305",3305,42102,"12:10 - 1:30 PM","TR","001",8,"ENL 149REMOTE TBA","ENL 149"
"3306",3306,42103,"1:40 - 3:00 PM","TR","002",0,"ENL 149REMOTE TBA","ENL 149"
